timestamp,load,force,pressure
2020-02-02 19:58:44:641735,24952,-0.23666087,454
2020-02-02 19:58:44:734899,25215,1.060043478,
2020-02-02 19:58:44:828049,24797,-1.000878261,
2020-02-02 19:58:44:921087,24944,-0.276104348,390
2020-02-02 19:58:45:014117,25206,1.015669565,
2020-02-02 19:58:45:107387,25205,1.01073913,461
2020-02-02 19:58:45:200428,25068,0.335269565,
2020-02-02 19:58:45:293422,25063,0.310617391,40
2020-02-02 19:58:45:386623,24855,-0.714913043,
2020-02-02 19:58:45:479655,25006,0.029582609,
2020-02-02 19:58:45:572742,25257,1.267121739,462
2020-02-02 19:58:45:665936,24852,-0.729704348,
2020-02-02 19:58:45:759057,25242,1.193165217,326
2020-02-02 19:58:45:852128,25223,1.099486957,
2020-02-02 19:58:45:945210,25239,1.178373913,
2020-02-02 19:58:46:038310,25204,1.005808696,464
2020-02-02 19:58:46:131436,25064,0.315547826,
2020-02-02 19:58:46:224552,25349,1.720721739,461
2020-02-02 19:58:46:317674,25280,1.380521739,
2020-02-02 19:58:46:410683,25018,0.088747826,
2020-02-02 19:58:46:503690,24959,-0.202147826,185
2020-02-02 19:58:46:596706,24951,-0.241591304,
2020-02-02 19:58:46:689874,25255,1.25726087,459
2020-02-02 19:58:46:782909,25187,0.921991304,
2020-02-02 19:58:46:875931,25245,1.207956522,226
2020-02-02 19:58:46:968973,25082,0.404295652,
2020-02-02 19:58:47:051895,25258,1.272052174,
2020-02-02 19:58:47:144931,25154,0.759286957,
2020-02-02 19:58:47:238043,25184,0.9072,411
2020-02-02 19:58:47:331066,25455,2.243347826,
2020-02-02 19:58:47:424119,25442,2.179252174,466
2020-02-02 19:58:47:517128,25251,1.23753913,
2020-02-02 19:58:47:610238,25117,0.57686087,
2020-02-02 19:58:47:703263,24846,-0.759286957,
2020-02-02 19:58:47:796478,24801,-0.981156522,1023
2020-02-02 19:58:47:889396,25056,0.276104348,1023
2020-02-02 19:58:47:982230,25209,1.03046087,1023
2020-02-02 19:58:48:074930,25365,1.799608696,1023
2020-02-02 19:58:48:167657,24943,-0.281034783,1023
2020-02-02 19:58:48:260323,24799,-0.991017391,1023
2020-02-02 19:58:48:353029,25072,0.354991304,1023
2020-02-02 19:58:48:445715,25237,1.168513043,1023
2020-02-02 19:58:48:538438,25182,0.89733913,1023
2020-02-02 19:58:48:631081,25151,0.744495652,1023
2020-02-02 19:58:48:723673,25203,1.000878261,1023
2020-02-02 19:58:48:816337,25139,0.685330435,1023
2020-02-02 19:58:48:908962,25455,2.243347826,1023
2020-02-02 19:58:49:001486,25310,1.528434783,1023
2020-02-02 19:58:49:094130,25178,0.877617391,1023
2020-02-02 19:58:49:186773,25229,1.129069565,1023
2020-02-02 19:58:49:279427,25248,1.222747826,1023
2020-02-02 19:58:49:372161,25272,1.341078261,1023
2020-02-02 19:58:49:464816,25250,1.232608696,1023
2020-02-02 19:58:49:557410,24951,-0.241591304,1023
2020-02-02 19:58:49:649976,25282,1.390382609,1023
2020-02-02 19:58:49:742520,25004,0.019721739,1023
2020-02-02 19:58:49:835190,24800,-0.986086957,1023
2020-02-02 19:58:49:927901,25232,1.14386087,1023
2020-02-02 19:58:50:020524,25405,1.996826087,1023
2020-02-02 19:58:50:113219,24899,-0.497973913,1023
2020-02-02 19:58:50:205857,24776,-1.104417391,1023
2020-02-02 19:58:50:298588,24876,-0.611373913,1023
2020-02-02 19:58:50:391289,25053,0.261313043,1023
2020-02-02 19:58:50:483965,25203,1.000878261,1023
2020-02-02 19:58:50:576592,25645,3.180130435,1023
2020-02-02 19:58:50:669310,25274,1.35093913,1023
2020-02-02 19:58:50:761948,24998,-0.00986087,1023
2020-02-02 19:58:50:854628,25054,0.266243478,1023
2020-02-02 19:58:50:947368,25293,1.444617391,1023
2020-02-02 19:58:51:040003,25344,1.696069565,1023
2020-02-02 19:58:51:132644,24859,-0.695191304,1023
2020-02-02 19:58:51:225287,24720,-1.380521739,1023
2020-02-02 19:58:51:317979,24893,-0.527556522,1023
2020-02-02 19:58:51:410637,25283,1.395313043,1023
2020-02-02 19:58:51:503230,25715,3.52526087,1023
2020-02-02 19:58:51:595870,25475,2.341956522,1023
2020-02-02 19:58:51:688582,25443,2.184182609,1023
2020-02-02 19:58:51:781388,25076,0.374713043,1023
2020-02-02 19:58:51:874109,24968,-0.157773913,1023
2020-02-02 19:58:51:966808,24541,-2.263069565,1023
2020-02-02 19:58:52:059526,24637,-1.789747826,1023
2020-02-02 19:58:52:152291,25131,0.645886957,1023
2020-02-02 19:58:52:244981,25154,0.759286957,1023
2020-02-02 19:58:52:337729,25382,1.883426087,1023
2020-02-02 19:58:52:430396,25708,3.490747826,1023
2020-02-02 19:58:52:522993,27046,10.08766957,1023
2020-02-02 19:58:52:615615,29380,21.59530435,1023
2020-02-02 19:58:52:708378,33895,43.85621739,1023
2020-02-02 19:58:52:801089,41659,82.13611304,1023
2020-02-02 19:58:52:893744,55569,150.7184609,1023
2020-02-02 19:58:52:986389,79087,266.6724261,1023
2020-02-02 19:58:53:079156,111314,425.5655478,1023
2020-02-02 19:58:53:171864,146266,597.8941043,1023
2020-02-02 19:58:53:264531,185706,792.3504522,1023
2020-02-02 19:58:53:357126,219803,960.463487,1023
2020-02-02 19:58:53:449869,252465,1121.501348,1023
2020-02-02 19:58:53:542575,287630,1294.880087,1023
2020-02-02 19:58:53:635282,328817,1497.949904,1023
2020-02-02 19:58:53:728140,370827,1705.07747,1023
2020-02-02 19:58:53:820796,405916,1878.081496,1023
2020-02-02 19:58:53:913448,431836,2005.878365,1023
2020-02-02 19:58:54:006396,431656,2004.990887,1023
2020-02-02 19:58:54:099283,413724,1916.57833,1023
2020-02-02 19:58:54:192105,387294,1786.266939,1023
2020-02-02 19:58:54:284948,363157,1667.261035,1023
2020-02-02 19:58:54:377850,344944,1577.463026,1023
2020-02-02 19:58:54:470711,328170,1494.759913,1023
2020-02-02 19:58:54:563547,299560,1353.700174,1023
2020-02-02 19:58:54:656355,218952,956.267687,1023
2020-02-02 19:58:54:749401,111633,427.1383565,1023
2020-02-02 19:58:54:842201,53153,138.8065304,1023
2020-02-02 19:58:54:935022,38002,64.10551304,1023
2020-02-02 19:58:55:027884,37435,61.30995652,1023
2020-02-02 19:58:55:120696,34847,48.5499913,1023
2020-02-02 19:58:55:213498,25728,3.589356522,1023
2020-02-02 19:58:55:306250,15521,-46.7355913,1023
2020-02-02 19:58:55:399067,-4447,-145.186513,1023
2020-02-02 19:58:55:491850,-41826,-329.4812348,1023
2020-02-02 19:58:55:584679,-83131,-533.1328435,1023
2020-02-02 19:58:55:677546,-126130,-745.1366087,1023
2020-02-02 19:58:55:770342,-170646,-964.6198435,1023
2020-02-02 19:58:55:863109,-207330,-1145.487913,1023
2020-02-02 19:58:55:955794,-238001,-1296.709278,1023
2020-02-02 19:58:56:048530,-262035,-1415.207348,1023
2020-02-02 19:58:56:141192,-278476,-1496.268626,1023
2020-02-02 19:58:56:233815,-291996,-1562.928104,1023
2020-02-02 19:58:56:326454,-306993,-1636.869835,1023
2020-02-02 19:58:56:419072,-323144,-1716.501287,1023
2020-02-02 19:58:56:511721,-337636,-1787.953148,1023
2020-02-02 19:58:56:604447,-348415,-1841.098304,1023
2020-02-02 19:58:56:697149,-357749,-1887.118983,1023
2020-02-02 19:58:56:789913,-364774,-1921.755287,1023
2020-02-02 19:58:56:882587,-367160,-1933.519304,1023
2020-02-02 19:58:56:975277,-367771,-1936.5318,1023
2020-02-02 19:58:57:068049,-366123,-1928.406443,1023
2020-02-02 19:58:57:160667,-354782,-1872.490383,1023
2020-02-02 19:58:57:253348,-311592,-1659.544904,1023
2020-02-02 19:58:57:346181,-223741,-1226.401278,1023
2020-02-02 19:58:57:438967,-139386,-810.4944522,1023
2020-02-02 19:58:57:531651,-81987,-527.4924261,1023
2020-02-02 19:58:57:624391,-39639,-318.6983739,1023
2020-02-02 19:58:57:717085,-605,-126.2437826,1023
2020-02-02 19:58:57:809822,38055,64.36682609,1023
2020-02-02 19:58:57:902529,78366,263.1175826,1023
