timestamp,load,pressure,Column2,Column3
2020-02-04 19:31:32:852532,-13.71153913,951,852532,#VALUE!
2020-02-04 19:31:32:953345,-15.33365217,945,953345,100813
2020-02-04 19:31:33:043787,-13.88903478,951,043787,-909558
2020-02-04 19:31:33:134087,-12.05984348,946,134087,90300
2020-02-04 19:31:33:224519,-12.74024348,950,224519,90432
2020-02-04 19:31:33:325196,-13.22835652,949,325196,100677
2020-02-04 19:31:33:415518,-13.52418261,950,415518,90322
2020-02-04 19:31:33:505303,-12.72545217,945,505303,89785
2020-02-04 19:31:33:605899,-10.9998,950,605899,100596
2020-02-04 19:31:33:696375,-10.57085217,950,696375,90476
2020-02-04 19:31:33:785985,-11.2413913,948,785985,89610
2020-02-04 19:31:33:876359,-14.42152174,945,876359,90374
2020-02-04 19:31:33:976386,-15.11178261,950,976386,100027
2020-02-04 19:31:34:066070,-12.02533043,951,066070,-910316
2020-02-04 19:31:34:155705,-11.6949913,950,155705,89635
2020-02-04 19:31:34:256266,-14.8554,951,256266,100561
2020-02-04 19:31:34:346186,-14.11090435,951,346186,89920
2020-02-04 19:31:34:436707,-13.15933043,949,436707,90521
2020-02-04 19:31:34:526443,-15.13643478,950,526443,89736
2020-02-04 19:31:34:626403,-14.13555652,945,626403,99960
2020-02-04 19:31:34:716177,-10.76806957,950,716177,89774
2020-02-04 19:31:34:806519,-11.2266,951,806519,90342
2020-02-04 19:31:34:906384,-12.41976522,951,906384,99865
2020-02-04 19:31:34:996098,-12.44441739,951,996098,89714
2020-02-04 19:31:35:086466,-13.55376522,948,086466,-909632
2020-02-04 19:31:35:186497,-13.41078261,950,186497,100031
2020-02-04 19:31:35:276947,-11.64568696,951,276947,90450
2020-02-04 19:31:35:366630,-11.26604348,951,366630,89683
2020-02-04 19:31:35:456614,-10.93570435,951,456614,89984
2020-02-04 19:31:35:556436,-10.94063478,951,556436,99822
2020-02-04 19:31:35:646100,-10.97514783,950,646100,89664
2020-02-04 19:31:35:736435,-10.60043478,951,736435,90335
2020-02-04 19:31:35:836418,-11.16743478,950,836418,99983
2020-02-04 19:31:35:926226,-13.46008696,946,926226,89808
2020-02-04 19:31:36:016634,-12.88815652,945,016634,-909592
2020-02-04 19:31:36:116611,-12.50358261,949,116611,99977
2020-02-04 19:31:36:206273,-12.72052174,950,206273,89662
2020-02-04 19:31:36:296011,-11.16250435,951,296011,89738
2020-02-04 19:31:36:386260,-11.7788087,948,386260,90249
2020-02-04 19:31:36:486103,-12.16338261,950,486103,99843
2020-02-04 19:31:36:575858,-13.45022609,945,575858,89755
2020-02-04 19:31:36:666278,-12.97690435,947,666278,90420
2020-02-04 19:31:36:766214,-11.49777391,951,766214,99936
2020-02-04 19:31:36:856512,-11.63089565,950,856512,90298
2020-02-04 19:31:36:946228,-12.63670435,945,946228,89716
2020-02-04 19:31:37:046209,-11.46326087,950,046209,-900019
2020-02-04 19:31:37:135948,-11.63089565,951,135948,89739
2020-02-04 19:31:37:225703,-12.66135652,945,225703,89755
2020-02-04 19:31:37:316108,-14.69762609,951,316108,90405
2020-02-04 19:31:37:416655,-14.82581739,946,416655,100547
2020-02-04 19:31:37:506287,-13.58334783,951,506287,89632
2020-02-04 19:31:37:596112,-13.76577391,951,596112,89825
2020-02-04 19:31:37:696703,-13.01141739,946,696703,100591
2020-02-04 19:31:37:786391,-12.06970435,951,786391,89688
2020-02-04 19:31:37:876022,-12.21268696,950,876022,89631
2020-02-04 19:31:37:966432,-12.22747826,946,966432,90410
2020-02-04 19:31:38:066326,-12.30636522,948,066326,-900106
2020-02-04 19:31:38:156010,-11.25125217,950,156010,89684
2020-02-04 19:31:38:246458,-11.81825217,951,246458,90448
2020-02-04 19:31:38:346516,-10.72369565,951,346516,100058
2020-02-04 19:31:38:436172,-11.4681913,946,436172,89656
2020-02-04 19:31:38:528637,-123.2608696,950,528637,92465
2020-02-04 19:31:38:710249,-12.27185217,950,710249,181612
2020-02-04 19:31:38:808566,-123.2608696,948,808566,98317
2020-02-04 19:31:38:898601,-123.2608696,949,898601,90035
2020-02-04 19:31:39:088535,-123.2608696,951,088535,-810066
2020-02-04 19:31:39:095805,-123.2608696,950,095805,7270
2020-02-04 19:31:39:175150,-11.07868696,950,175150,79345
2020-02-04 19:31:39:275925,-12.96704348,950,275925,100775
2020-02-04 19:31:39:366314,-14.92935652,950,366314,90389
2020-02-04 19:31:39:456021,-14.37221739,949,456021,89707
2020-02-04 19:31:39:556503,-12.52823478,950,556503,100482
2020-02-04 19:31:39:646265,-14.50533913,951,646265,89762
2020-02-04 19:31:39:736744,-12.86843478,949,736744,90479
2020-02-04 19:31:39:826371,-13.64744348,949,826371,89627
2020-02-04 19:31:39:926212,-12.83392174,951,926212,99841
2020-02-04 19:31:40:016710,-10.93570435,951,016710,-909502
2020-02-04 19:31:40:106329,-11.08854783,947,106329,89619
2020-02-04 19:31:40:206119,-12.49865217,950,206119,99790
2020-02-04 19:31:40:295748,-11.50270435,950,295748,89629
2020-02-04 19:31:40:386158,-12.27678261,948,386158,90410
2020-02-04 19:31:40:476402,-12.52823478,950,476402,90244
2020-02-04 19:31:40:576339,-12.64163478,950,576339,99937
2020-02-04 19:31:40:666171,-12.24226957,950,666171,89832
2020-02-04 19:31:40:756555,-11.40902609,947,756555,90384
2020-02-04 19:31:40:856536,-11.8922087,945,856536,99981
2020-02-04 19:31:40:946289,-12.95225217,950,946289,89753
2020-02-04 19:31:41:036124,-11.85276522,951,036124,-910165
2020-02-04 19:31:41:136675,-10.34898261,950,136675,100551
2020-02-04 19:31:41:226317,-12.28664348,950,226317,89642
2020-02-04 19:31:41:316018,-13.93833913,950,316018,89701
2020-02-04 19:31:41:406389,-14.52506087,951,406389,90371
2020-02-04 19:31:41:506255,-13.8495913,946,506255,99866
2020-02-04 19:31:41:595962,-13.30231304,945,595962,89707
2020-02-04 19:31:41:686351,-11.40902609,950,686351,90389
2020-02-04 19:31:41:786353,-13.3959913,948,786353,100002
2020-02-04 19:31:41:878136,-18.54829565,951,878136,91783
2020-02-04 19:31:41:968994,-14.14048696,951,968994,90858
2020-02-04 19:31:43:407463,-11.07375652,950,407463,-561531
2020-02-04 19:31:43:507393,-11.43367826,950,507393,99930
2020-02-04 19:31:43:597104,-11.95137391,946,597104,89711
2020-02-04 19:31:43:686782,-11.30055652,950,686782,89678
2020-02-04 19:31:43:776529,-10.84202609,949,776529,89747
2020-02-04 19:31:43:876455,-12.02533043,950,876455,99926
2020-02-04 19:31:43:966156,-12.10421739,950,966156,89701
2020-02-04 19:31:44:056543,-10.67932174,948,056543,-909613
2020-02-04 19:31:44:156546,-10.05315652,950,156546,100003
2020-02-04 19:31:44:246307,-11.0145913,950,246307,89761
2020-02-04 19:31:44:336054,-11.32027826,946,336054,89747
2020-02-04 19:31:44:436627,-9.974269565,949,436627,100573
2020-02-04 19:31:44:526297,-10.99486957,950,526297,89670
2020-02-04 19:31:44:616556,-11.2413913,945,616556,90259
2020-02-04 19:31:44:707090,-11.44846957,944,707090,90534
2020-02-04 19:31:44:806959,-11.1279913,950,806959,99869
2020-02-04 19:31:44:896607,-10.44266087,951,896607,89648
2020-02-04 19:31:44:986367,-12.6860087,948,986367,89760
2020-02-04 19:31:45:086372,-12.80433913,950,086372,-899995
2020-02-04 19:31:45:176019,-14.62366957,946,176019,89647
2020-02-04 19:31:45:265796,-14.62366957,946,265796,89777
2020-02-04 19:31:45:366337,-12.72052174,949,366337,100541
2020-02-04 19:31:45:456067,-12.39018261,950,456067,89730
2020-02-04 19:31:45:546358,-12.37046087,950,546358,90291
2020-02-04 19:31:45:646175,-12.40990435,950,646175,99817
2020-02-04 19:31:45:735893,-11.19701739,949,735893,89718
2020-02-04 19:31:45:823728,-123.2608696,951,823728,87835
2020-02-04 19:31:45:834486,100.9999565,951,834486,10758
2020-02-04 19:31:46:261989,-123.2658,951,261989,-572497
2020-02-04 19:31:46:689922,-123.2658,945,689922,427933
2020-02-04 19:31:49:860694,-12.12393913,950,860694,170772
2020-02-04 19:31:50:052443,-12.75996522,947,052443,-808251
2020-02-04 19:31:50:142356,-12.09435652,949,142356,89913
2020-02-04 19:31:50:232115,-12.6860087,950,232115,89759
2020-02-04 19:31:50:331888,-11.26111304,948,331888,99773
2020-02-04 19:31:50:421485,-11.36465217,950,421485,89597
2020-02-04 19:31:50:511212,-11.54707826,951,511212,89727
2020-02-04 19:31:50:608640,-123.2608696,950,608640,97428
2020-02-04 19:31:50:619323,102.8340783,944,619323,10683
2020-02-04 19:31:51:047072,-123.2658,949,047072,-572251
2020-02-04 19:31:51:474746,-123.2658,950,474746,427674
2020-02-04 19:31:51:514463,-10.83216522,944,514463,39717
2020-02-04 19:31:51:615536,-10.42786957,951,615536,101073
2020-02-04 19:31:51:706128,-10.90612174,950,706128,90592
2020-02-04 19:31:51:796487,-10.50182609,950,796487,90359
2020-02-04 19:31:51:886210,-11.06389565,950,886210,89723
2020-02-04 19:31:51:986152,-11.00966087,948,986152,99942
2020-02-04 19:31:52:076523,-10.57578261,950,076523,-909629
2020-02-04 19:31:52:166243,-12.75996522,950,166243,89720
2020-02-04 19:31:52:266127,-24.89376522,951,266127,99884
2020-02-04 19:31:52:355750,-26.83142609,950,355750,89623
2020-02-04 19:31:52:446189,-12.73038261,950,446189,90439
2020-02-04 19:31:52:536438,-11.66047826,950,536438,90249
2020-02-04 19:31:52:636314,-12.02533043,950,636314,99876
2020-02-04 19:31:52:726113,-11.98095652,949,726113,89799
2020-02-04 19:31:52:816458,-13.40585217,950,816458,90345
2020-02-04 19:31:52:916361,-13.29245217,949,916361,99903
2020-02-04 19:31:53:006024,-12.01053913,950,006024,-910337
2020-02-04 19:31:53:096409,-12.88322609,951,096409,90385
2020-02-04 19:31:53:186024,-14.0468087,951,186024,89615
2020-02-04 19:31:53:285986,-13.02127826,951,285986,99962
2020-02-04 19:31:53:375822,-12.61205217,950,375822,89836
2020-02-04 19:31:53:466304,-13.05086087,948,466304,90482
2020-02-04 19:31:53:566199,-12.1338,948,566199,99895
2020-02-04 19:31:53:656489,-12.9128087,945,656489,90290
2020-02-04 19:31:53:746194,-10.92091304,950,746194,89705
2020-02-04 19:31:53:846784,-11.97109565,946,846784,100590
2020-02-04 19:31:53:936414,-12.41483478,951,936414,89630
2020-02-04 19:31:54:026075,-14.14541739,951,026075,-910339
2020-02-04 19:31:54:116410,-12.28171304,947,116410,90335
2020-02-04 19:31:54:216294,-12.2619913,951,216294,99884
2020-02-04 19:31:54:306087,-13.52911304,948,306087,89793
2020-02-04 19:31:54:396468,-14.6138087,948,396468,90381
2020-02-04 19:31:54:496465,-13.71646957,951,496465,99997
2020-02-04 19:31:54:586252,-12.54795652,946,586252,89787
2020-02-04 19:31:54:675979,-13.10016522,950,675979,89727
