timestamp,Column1,load,pressure
2020-02-07 18:40:48:912528,40:48:912,-94.88621739,950
2020-02-07 18:40:49:172157,40:49:172,-94.28963478,951
2020-02-07 18:40:49:430692,40:49:430,-93.20986957,948
2020-02-07 18:40:49:689246,40:49:689,-93.07674783,949
2020-02-07 18:40:49:948600,40:49:948,-94.94538261,949
2020-02-07 18:40:50:207946,40:50:207,-94.26005217,949
2020-02-07 18:40:50:467115,40:50:467,-95.6109913,947
2020-02-07 18:40:50:726370,40:50:726,-95.86737391,951
2020-02-07 18:40:50:984843,40:50:984,-95.64550435,950
2020-02-07 18:40:51:243466,40:51:243,-95.18204348,948
2020-02-07 18:40:51:502226,40:51:502,-94.88128696,950
2020-02-07 18:40:51:760783,40:51:760,-94.47206087,950
2020-02-07 18:40:52:020256,40:52:020,-94.09241739,933
2020-02-07 18:40:52:278858,40:52:278,-96.20757391,919
2020-02-07 18:40:52:538278,40:52:538,-94.40303478,946
2020-02-07 18:40:52:798086,40:52:798,-95.87723478,975
2020-02-07 18:40:53:056559,40:53:056,-96.5181913,932
2020-02-07 18:40:53:314993,40:53:314,-95.92653913,935
2020-02-07 18:40:54:087887,40:54:087,-94.91086957,950
2020-02-07 18:40:54:348199,40:54:348,-97.22324348,951
2020-02-07 18:40:54:606691,40:54:606,-96.65624348,928
2020-02-07 18:40:54:866235,40:54:866,-94.38331304,930
2020-02-07 18:40:55:129406,40:55:129,-95.30037391,954
2020-02-07 18:40:55:388702,40:55:388,-97.17886957,931
2020-02-07 18:40:55:647144,40:55:647,-95.32502609,923
2020-02-07 18:40:55:906495,40:55:906,-97.00137391,941
2020-02-07 18:40:56:164884,40:56:164,-284.4712957,974
2020-02-07 18:40:56:680836,40:56:680,-813.497087,931
2020-02-07 18:40:56:939433,40:56:939,-1055.911774,935
2020-02-07 18:40:57:198051,40:57:198,-1345.338157,925
2020-02-07 18:40:57:457233,40:57:457,-1569.737035,962
2020-02-07 18:40:57:716409,40:57:716,-1730.661496,931
2020-02-07 18:40:57:974885,40:57:974,-1792.996983,914
2020-02-07 18:40:58:490826,40:58:490,-1609.900357,894
2020-02-07 18:40:58:749332,40:58:749,-1523.4156,883
2020-02-07 18:40:59:008029,40:59:008,-1517.582896,877
2020-02-07 18:40:59:531792,40:59:531,-1539.025357,853
2020-02-07 18:40:59:790360,40:59:790,-1601.582713,827
2020-02-07 18:41:00:049014,41:00:049,-1669.277583,782
2020-02-07 18:41:00:308421,41:00:308,-1774.774096,791
2020-02-07 18:41:00:568115,41:00:568,-1792.873722,754
2020-02-07 18:41:00:828140,41:00:828,-1830.226696,751
2020-02-07 18:41:01:088603,41:01:088,-1653.70727,739
2020-02-07 18:41:01:347104,41:01:347,-638.6835913,724
2020-02-07 18:41:02:120123,41:02:120,-97.36129565,715
2020-02-07 18:41:02:380174,41:02:380,-95.40884348,742
2020-02-07 18:41:02:638831,41:02:638,-95.89695652,713
2020-02-07 18:41:02:898169,41:02:898,-97.00630435,749
2020-02-07 18:41:03:157280,41:03:157,-94.19102609,716
2020-02-07 18:41:03:416529,41:03:416,-96.74992174,725
2020-02-07 18:41:03:678176,41:03:678,-95.61592174,738
2020-02-07 18:41:03:936565,41:03:936,-96.22236522,720
2020-02-07 18:41:04:195100,41:04:195,-95.08343478,737
2020-02-07 18:41:04:453703,41:04:453,-95.01933913,713
2020-02-07 18:41:07:452127,41:07:452,-96.74006087,703
2020-02-07 18:41:07:710588,41:07:710,-5338.447983,707
2020-02-07 18:41:07:970064,41:07:970,-5981.253417,691
2020-02-07 18:41:08:228609,41:08:228,-6469.105148,703
2020-02-07 18:41:08:487975,41:08:487,-6492.38173,690
2020-02-07 18:41:08:747075,41:08:747,-6468.395165,677
2020-02-07 18:41:09:006269,41:09:006,-6502.799739,695
2020-02-07 18:41:09:264767,41:09:264,-2422.426148,693
2020-02-07 18:41:09:523381,41:09:523,-132.0419739,698
2020-02-07 18:41:09:782035,41:09:782,-96.81401739,689
2020-02-07 18:41:10:040575,41:10:040,-93.87547826,695
2020-02-07 18:41:10:299061,41:10:299,-95.70466957,705
2020-02-07 18:41:10:558234,41:10:558,-96.62173043,693
2020-02-07 18:41:10:816604,41:10:816,-95.58633913,712
2020-02-07 18:41:11:075016,41:11:075,-95.2412087,701
2020-02-07 18:41:12:104843,41:12:104,-96.5034,707
2020-02-07 18:41:12:363266,41:12:363,27.02371304,695
2020-02-07 18:41:12:621942,41:12:621,485.5147043,699
2020-02-07 18:41:12:880560,41:12:880,1328.890226,700
2020-02-07 18:41:13:139271,41:13:139,2004.374583,707
2020-02-07 18:41:13:398657,41:13:398,2798.130209,714
2020-02-07 18:41:13:658077,41:13:658,3295.546983,698
2020-02-07 18:41:13:917200,41:13:917,3369.202748,704
