timestamp,load_old,load_raw,pressure_raw,load,pressure,,,,multiply load by 1.7 to adjust for area difference (92 instead of 120mm)
2020-02-14 15:53:41:884714,186.2175913,-12769,948,-13.04888951,986.3409695,,,,
2020-02-14 15:53:42:144829,180.8582087,-11682,948,-7.737865693,986.3409695,,,,
2020-02-14 15:53:42:403497,185.5815652,-12640,948,-12.4186024,986.3409695,,,,
2020-02-14 15:53:42:662224,188.8553739,-13304,948,-15.66287087,986.3409695,,,,
2020-02-14 15:53:42:921465,186.508487,-12828.00001,949,-13.3371604,987.6001192,,,,
2020-02-14 15:53:43:180089,182.0710957,-11928.00001,947,-8.939808571,985.0818198,,,,
2020-02-14 15:53:43:439447,187.0705565,-12942,948,-13.89415824,986.3409695,,,,
2020-02-14 15:53:43:698290,186.4887652,-12824,947,-13.31761655,985.0818198,,,,
2020-02-14 15:53:43:955442,123.2608696,-7.05E-06,947,49.33976109,985.0818198,,,,
2020-02-14 15:53:44:214153,185.9858609,-12722.00001,948,-12.81925006,986.3409695,,,,
2020-02-14 15:53:44:472857,185.7097565,-12666,948,-12.54563701,986.3409695,,,,
2020-02-14 15:53:44:732293,183.8164696,-12282.00001,947,-10.66943361,985.0818198,,,,
2020-02-14 15:53:44:990992,182.8994087,-12096,948,-9.760647537,986.3409695,,,,
2020-02-14 15:53:45:249868,175.1734174,-10529,947,-2.104369403,985.0818198,,,,
2020-02-14 15:53:45:508936,173.6844261,-10227,949,-0.62881357,987.6001192,,,,
2020-02-14 15:53:45:767352,158.227513,-7091.999991,948,14.68862871,986.3409695,,,,
2020-02-14 15:53:46:025979,155.7277826,-6584.999998,948,17.16580354,986.3409695,,,,
2020-02-14 15:53:46:284716,147.0798,-4831,949,25.73575366,987.6001192,,,,
2020-02-14 15:53:46:543392,147.42,-4900,947,25.39862336,985.0818198,,,,
2020-02-14 15:53:46:802176,147.2918087,-4874.000001,949,25.52565796,987.6001192,,,,
2020-02-14 15:53:47:061610,144.5652783,-4321.000008,947,28.22758633,985.0818198,,,,
2020-02-14 15:53:47:321205,143.0368435,-4011.000004,947,29.74222976,985.0818198,,,,
2020-02-14 15:53:47:579846,147.9771391,-5012.999994,949,24.84651143,987.6001192,,,,
2020-02-14 15:53:47:838462,124.6463217,-280.9999921,948,47.9668102,986.3409695,,,,
2020-02-14 15:53:48:097183,128.2800522,-1018.000005,947,44.36586758,985.0818198,,,,
2020-02-14 15:53:48:355594,123.2608696,-7.05E-06,948,49.33976109,986.3409695,,,,
2020-02-14 15:53:48:614279,144.890687,-4387.000009,948,27.90511386,986.3409695,,,,
2020-02-14 15:53:48:873032,141.1534174,-3629.000002,949,31.60866133,987.6001192,,,,
2020-02-14 15:53:49:131783,140.5519043,-3506.99999,948,32.20474685,986.3409695,,,,
2020-02-14 15:53:49:391221,137.5344783,-2895.000008,949,35.19494601,987.6001192,,,,
2020-02-14 15:53:49:649826,136.8540783,-2757.000008,948,35.86920663,986.3409695,,,,
2020-02-14 15:53:49:909495,140.4039913,-3476.999999,939,32.35132521,975.0086225,,,,
2020-02-14 15:53:50:168185,149.3428696,-5290.000007,947,23.49310419,985.0818198,,,,
2020-02-14 15:53:50:426609,123.2608696,-7.05E-06,948,49.33976109,986.3409695,,,,
2020-02-14 15:53:50:685463,151.8820435,-5805.000004,949,20.97684177,987.6001192,,,,
2020-02-14 15:53:50:945434,147.4495826,-4905.999998,947,25.36930769,985.0818198,,,,
2020-02-14 15:53:51:204336,138.8213217,-3155.999992,948,33.91971406,986.3409695,,,,
2020-02-14 15:53:51:463084,144.0229304,-4210.999993,951,28.76504052,990.1184185,,,,
2020-02-14 15:53:51:723625,141.5626435,-3712.000004,948,31.20312776,986.3409695,,,,
2020-02-14 15:53:51:983465,145.0681826,-4422.999998,950,27.72921984,988.8592689,,,,
2020-02-14 15:53:52:242233,143.2833652,-4060.999996,948,29.49793247,986.3409695,,,,
2020-02-14 15:53:52:501538,142.6276174,-3928.000002,948,30.14776333,986.3409695,,,,
2020-02-14 15:53:52:760083,147.7059652,-4957.999996,948,25.11523848,986.3409695,,,,
2020-02-14 15:53:53:019443,161.0181391,-7657.999994,947,11.92318299,985.0818198,,,,
2020-02-14 15:53:53:279309,164.1736174,-8298.000002,951,8.7961772,990.1184185,,,,
2020-02-14 15:53:53:535596,123.2608696,-7.05E-06,948,49.33976109,986.3409695,,,,
2020-02-14 15:53:53:794326,163.941887,-8251.000009,948,9.02581665,986.3409695,,,,
2020-02-14 15:53:54:053036,169.0547478,-9287.999995,948,3.959090216,986.3409695,,,,
2020-02-14 15:53:54:312922,171.4903826,-9781.999998,957,1.545432637,997.6733166,,,,
