timestamp,load,pressure
2020-02-18 12:49:25:004681,-347535.0,948
2020-02-18 12:49:25:262713,-22329.0,947
2020-02-18 12:49:25:520195,-22055.0,949
2020-02-18 12:49:25:776381,0,948
2020-02-18 12:49:26:034145,-21636.0,947
2020-02-18 12:49:26:291726,-21910.0,948
2020-02-18 12:49:26:549073,-21732.0,948
2020-02-18 12:49:26:806938,-21757.0,948
2020-02-18 12:49:27:064671,-22434.0,947
2020-02-18 12:49:27:322165,-22046.0,947
2020-02-18 12:49:27:579850,-21516.0,948
2020-02-18 12:49:27:837458,-21547.0,947
2020-02-18 12:49:28:095157,-22000.0,948
2020-02-18 12:49:28:352826,-21740.0,947
2020-02-18 12:49:28:611309,-21822.0,948
2020-02-18 12:49:28:868894,-21765.0,948
2020-02-18 12:49:29:126981,-22106.0,949
2020-02-18 12:49:29:384614,-21871.0,948
2020-02-18 12:49:29:642119,-22170.0,949
2020-02-18 12:49:29:899913,-21924.0,948
2020-02-18 12:49:30:157543,-22097.0,949
2020-02-18 12:49:30:415277,-22529.0,948
2020-02-18 12:49:30:672912,-22309.0,948
2020-02-18 12:49:30:930485,-22022.0,948
2020-02-18 12:49:31:188165,-21865.0,948
2020-02-18 12:49:31:445831,-22120.0,948
2020-02-18 12:49:31:703548,-22571.0,948
2020-02-18 12:49:31:961064,-22077.0,948
2020-02-18 12:49:32:219140,-22043.0,948
2020-02-18 12:49:32:476236,0,948
2020-02-18 12:49:32:733942,-22092.0,948
2020-02-18 12:49:32:991408,-22092.0,947
2020-02-18 12:49:33:249117,-21841.0,948
2020-02-18 12:49:33:506156,0,948
2020-02-18 12:49:33:763777,-21471.0,948
2020-02-18 12:49:34:021318,-21565.0,947
2020-02-18 12:49:34:278990,-22303.0,947
2020-02-18 12:49:34:536696,-21921.0,947
2020-02-18 12:49:34:794296,-21692.0,949
2020-02-18 12:49:35:051864,-21696.0,948
2020-02-18 12:49:35:309652,-21624.0,948
2020-02-18 12:49:35:567502,-21273.0,947
2020-02-18 12:49:35:825134,-21760.0,948
2020-02-18 12:49:36:082863,-22048.0,949
2020-02-18 12:49:36:340420,-22157.0,947
2020-02-18 12:49:36:598235,-22125.0,948
2020-02-18 12:49:37:050440,-21639.0,948
2020-02-18 12:49:37:308125,-22144.0,948
2020-02-18 12:49:37:565900,-21602.0,948
2020-02-18 12:49:37:823645,-21685.0,948
2020-02-18 12:49:38:081149,-22077.0,948
2020-02-18 12:49:38:338805,-21848.0,948
2020-02-18 12:49:43:105613,-22216.0,948
2020-02-18 12:49:43:363298,-21979.0,948
2020-02-18 12:49:43:620796,-22192.0,946
2020-02-18 12:49:43:876649,0,947
2020-02-18 12:49:44:134679,-22343.0,947
2020-02-18 12:49:44:392235,-22005.0,948
2020-02-18 12:49:44:649852,-21756.0,948
2020-02-18 12:49:44:907607,-22245.0,948
2020-02-18 12:49:45:165425,-21603.0,948
2020-02-18 12:49:45:423079,-21820.0,948
2020-02-18 12:49:45:680663,-21575.0,947
2020-02-18 12:49:45:938260,-22281.0,948
2020-02-18 12:49:46:196026,-21659.0,948
2020-02-18 12:49:46:453605,-21744.0,948
2020-02-18 12:49:46:711169,-21876.0,948
2020-02-18 12:49:46:966707,0,948
2020-02-18 12:49:47:224383,-22214.0,948
2020-02-18 12:49:47:481950,-22257.0,948
2020-02-18 12:49:47:739647,-21791.0,948
2020-02-18 12:49:47:997354,-21893.0,948
2020-02-18 12:49:48:254964,-22173.0,948
2020-02-18 12:49:48:512714,-22401.0,948
2020-02-18 12:49:48:770244,-21939.0,948
2020-02-18 12:49:49:027887,-21717.0,948
2020-02-18 12:49:49:285595,-21964.0,947
2020-02-18 12:49:49:543194,-21503.0,948
2020-02-18 12:49:49:800773,-21730.0,948
2020-02-18 12:49:50:056248,0,948
2020-02-18 12:49:50:313950,-22006.0,947
2020-02-18 12:49:50:571504,-22457.0,947
2020-02-18 12:49:50:829033,-21870.0,949
2020-02-18 12:49:51:086187,0,947
2020-02-18 12:49:51:343756,-22048.0,948
2020-02-18 12:49:51:601485,-21265.0,948
2020-02-18 12:49:51:859000,-21897.0,948
2020-02-18 12:49:52:116687,-21717.0,948
2020-02-18 12:49:52:374402,-21973.0,948
2020-02-18 12:49:52:631934,-21540.0,948
2020-02-18 12:49:52:889635,-21277.0,948
2020-02-18 12:49:53:147208,-21971.0,948
2020-02-18 12:49:53:404968,-22077.0,947
2020-02-18 12:49:53:662420,-21721.0,947
2020-02-18 12:49:53:920091,-21651.0,947
2020-02-18 12:49:54:177660,-22313.0,947
2020-02-18 12:49:54:435772,-21667.0,948
2020-02-18 12:49:54:693366,-22451.0,947
2020-02-18 12:49:54:950870,-22075.0,948
2020-02-18 12:49:55:206312,0,948
2020-02-18 12:49:55:719512,-21664.0,948
2020-02-18 12:49:55:976207,0,948
2020-02-18 12:49:56:233797,-21956.0,948
2020-02-18 12:49:56:491329,-21965.0,948
2020-02-18 12:49:56:748929,-22236.0,947
2020-02-18 12:49:57:006583,-22008.0,948
2020-02-18 12:49:57:264351,-21872.0,947
2020-02-18 12:49:57:521932,-22240.0,947
2020-02-18 12:49:57:779975,-21624.0,947
2020-02-18 12:49:58:037966,-21519.0,948
2020-02-18 12:49:58:295630,-22098.0,947
2020-02-18 12:49:58:553203,-22042.0,948
2020-02-18 12:49:58:810755,-22043.0,947
2020-02-18 12:49:59:068428,-21203.0,947
