timestamp,bme_pressure,analogue_pressure
2020-02-18 15:38:41:230756,991.2206776833915,948
2020-02-18 15:38:41:528842,991.231734749408,948
2020-02-18 15:38:41:829703,991.2431768593757,948
2020-02-18 15:38:42:130862,991.241762533269,947
2020-02-18 15:38:42:431785,991.2382912795443,947
2020-02-18 15:38:42:732425,991.2365556527934,947
2020-02-18 15:38:43:033022,991.2157281375829,948
2020-02-18 15:38:43:333368,991.2095071158772,948
2020-02-18 15:38:43:634136,991.1938863698092,948
2020-02-18 15:38:43:934815,991.2140063743356,947
2020-02-18 15:38:44:236383,991.2122707216325,948
2020-02-18 15:38:44:537177,991.2237125998354,948
2020-02-18 15:38:44:837586,991.1949141986904,947
2020-02-18 15:38:45:138286,991.2465965945665,948
2020-02-18 15:38:45:438770,991.1845002884944,947
2020-02-18 15:38:45:739582,991.211562933237,948
2020-02-18 15:38:46:040239,991.201856806975,947
2020-02-18 15:38:46:340830,991.1942062729883,948
2020-02-18 15:38:46:641520,991.2004409489848,948
2020-02-18 15:38:46:942179,991.1907349418308,948
2020-02-18 15:38:47:243042,991.1952339102758,948
2020-02-18 15:38:47:544160,991.2195334299768,948
2020-02-18 15:38:47:845102,991.2205611716372,948
2020-02-18 15:38:48:146098,991.1997328453402,948
2020-02-18 15:38:48:446698,991.1942062729883,947
2020-02-18 15:38:48:747674,991.1768496201752,948
2020-02-18 15:38:49:048817,991.1927900722875,948
2020-02-18 15:38:49:349587,991.2257682548847,948
2020-02-18 15:38:49:650508,991.1858473004244,948
2020-02-18 15:38:49:951165,991.1997328453402,948
2020-02-18 15:38:50:251522,991.194525765439,948
2020-02-18 15:38:50:551847,991.1972889181536,948
2020-02-18 15:38:50:852440,991.1976776044431,947
2020-02-18 15:38:51:153399,991.2049399259106,948
2020-02-18 15:38:51:454481,991.1768496201752,949
2020-02-18 15:38:51:755532,991.1820566152384,948
2020-02-18 15:38:52:056300,991.1813484769901,948
2020-02-18 15:38:52:357181,991.1781961449014,948
2020-02-18 15:38:52:657750,991.1806402223078,948
2020-02-18 15:38:52:958665,991.1858473004244,948
2020-02-18 15:38:53:259899,991.1841116076445,947
2020-02-18 15:38:53:561034,991.1785852851219,948
2020-02-18 15:38:53:862121,991.1997328453402,947
2020-02-18 15:38:54:162911,991.2014685387893,948
2020-02-18 15:38:54:463821,991.1858473004244,948
2020-02-18 15:38:54:764890,991.1796127981642,948
2020-02-18 15:38:55:065750,991.1927900722875,949
2020-02-18 15:38:55:366396,991.2063559343816,948
2020-02-18 15:38:55:667148,991.2049399259106,947
2020-02-18 15:38:55:967857,991.1639916920755,947
2020-02-18 15:38:56:269146,991.2049399259106,948
2020-02-18 15:38:56:569997,991.2011489361953,948
2020-02-18 15:38:56:871088,991.1806402223078,949
2020-02-18 15:38:57:171991,991.1959419386784,948
2020-02-18 15:38:57:474093,988.217189494708,915
2020-02-18 15:38:57:775214,982.4890427953501,957
2020-02-18 15:38:58:076032,973.695534470849,944
2020-02-18 15:38:58:376973,958.1658132518778,925
2020-02-18 15:38:58:677774,919.9208606830092,888
2020-02-18 15:38:58:978573,833.8745882209786,817
2020-02-18 15:38:59:279441,774.1843258509159,776
2020-02-18 15:38:59:580246,743.9148050462321,757
2020-02-18 15:38:59:881166,734.0662585582037,742
2020-02-18 15:39:00:182068,734.8373618474776,728
2020-02-18 15:39:00:483208,736.0305008115391,738
2020-02-18 15:39:00:784191,737.2492018968331,733
2020-02-18 15:39:01:085327,737.81506039547,720
2020-02-18 15:39:01:386228,738.2065121673841,733
2020-02-18 15:39:01:687136,739.3445654294931,727
2020-02-18 15:39:01:987856,740.2205939877181,718
2020-02-18 15:39:02:288958,740.3838468291312,732
2020-02-18 15:39:02:590101,741.1571803473747,724
2020-02-18 15:39:02:891123,741.6781537259749,729
2020-02-18 15:39:03:191907,741.322732455581,723
2020-02-18 15:39:03:493014,742.6948327503982,723
2020-02-18 15:39:03:794996,742.0033050825008,730
2020-02-18 15:39:04:096022,741.4300029059383,731
2020-02-18 15:39:04:397000,743.7761231548833,730
2020-02-18 15:39:04:697838,743.1123179675965,729
2020-02-18 15:39:04:998855,742.838121269897,729
2020-02-18 15:39:05:299905,743.4227315908657,729
2020-02-18 15:39:05:601014,742.829498762703,708
2020-02-18 15:39:05:901769,743.4495332374681,723
2020-02-18 15:39:06:202245,743.6349888782304,713
2020-02-18 15:39:06:503314,743.2366293713794,726
2020-02-18 15:39:06:804469,743.9607875751047,720
2020-02-18 15:39:07:107340,743.9971373255543,714
2020-02-18 15:39:07:409550,744.1256805428359,731
2020-02-18 15:39:07:710961,744.1291295751486,732
2020-02-18 15:39:08:013175,744.3506663519178,716
2020-02-18 15:39:08:313948,744.0360058070436,728
2020-02-18 15:39:08:614575,744.2257026005843,727
2020-02-18 15:39:08:915329,743.0901961237082,708
2020-02-18 15:39:09:216152,743.3479313474845,722
2020-02-18 15:39:09:517073,743.5945331143785,715
2020-02-18 15:39:09:817903,743.0608803521031,727
2020-02-18 15:39:10:119049,744.3947059558591,722
2020-02-18 15:39:10:419663,743.889557963758,703
2020-02-18 15:39:10:720558,744.0844245149311,732
2020-02-18 15:39:11:021372,744.0421081424412,730
2020-02-18 15:39:11:322136,743.4350891669102,732
2020-02-18 15:39:11:623176,744.3481437357282,728
2020-02-18 15:39:11:923814,751.6487266661969,721
2020-02-18 15:39:12:224548,757.3307535559086,723
2020-02-18 15:39:12:525475,771.4757995606691,721
2020-02-18 15:39:12:826257,784.9553464656493,695
2020-02-18 15:39:13:127106,791.9779864481769,712
2020-02-18 15:39:13:427917,805.9994744717334,710
2020-02-18 15:39:13:728710,829.3220067819464,725
2020-02-18 15:39:14:032132,846.8396505429253,724
