timestamp,bme_pressure,analogue_pressure
2020-02-18 15:41:05:523139,856.9897844237244,809
2020-02-18 15:41:05:821163,857.6880972328031,788
2020-02-18 15:41:06:122294,858.0461550804112,801
2020-02-18 15:41:06:423097,858.2502752330048,813
2020-02-18 15:41:06:724349,858.7622414784432,811
2020-02-18 15:41:07:025499,859.3814525981703,816
2020-02-18 15:41:07:326574,860.0646601405107,817
2020-02-18 15:41:07:627550,859.0268360620336,810
2020-02-18 15:41:07:928619,859.1358239022057,813
2020-02-18 15:41:08:229869,861.1301700744275,815
2020-02-18 15:41:08:530924,861.464008834374,816
2020-02-18 15:41:08:831784,861.3602212307518,826
2020-02-18 15:41:09:132939,861.3878977120054,818
2020-02-18 15:41:09:433821,861.1664863947838,816
2020-02-18 15:41:09:734907,860.5299434437101,810
2020-02-18 15:41:10:035880,860.2825731837562,798
2020-02-18 15:41:10:336992,859.7359625995083,805
2020-02-18 15:41:10:637911,859.4955298583491,795
2020-02-18 15:41:10:938781,859.7723010853509,808
2020-02-18 15:41:11:239979,860.8914586557074,819
2020-02-18 15:41:11:541081,861.1422725525756,819
2020-02-18 15:41:11:842169,861.4017368490627,816
2020-02-18 15:41:12:143257,861.7061770893245,824
2020-02-18 15:41:12:444316,861.6594730393147,820
2020-02-18 15:41:12:745517,861.6023903851118,816
2020-02-18 15:41:13:046566,861.1785947947149,817
2020-02-18 15:41:13:347653,859.4644275606105,811
2020-02-18 15:41:13:648572,858.4716172673309,811
2020-02-18 15:41:13:949896,856.5395353359745,805
2020-02-18 15:41:14:250946,855.7680954134266,806
2020-02-18 15:41:14:552083,857.4337157179718,810
2020-02-18 15:41:14:852985,857.6135999167942,796
2020-02-18 15:41:15:154621,857.7242982849245,807
2020-02-18 15:41:15:456745,859.1495859881038,810
2020-02-18 15:41:15:759471,859.9383423509718,806
2020-02-18 15:41:16:062298,858.3590901187052,796
2020-02-18 15:41:16:363402,857.5236896259427,801
2020-02-18 15:41:16:664536,858.5580051513341,806
2020-02-18 15:41:16:965567,858.5839506628492,790
2020-02-18 15:41:17:266575,856.5637102197427,787
2020-02-18 15:41:17:567674,856.3163761059857,813
2020-02-18 15:41:17:868826,855.3876871434973,809
2020-02-18 15:41:18:169906,858.7293126166217,817
2020-02-18 15:41:18:471026,859.1461265644168,813
2020-02-18 15:41:18:772072,859.1098410291031,812
2020-02-18 15:41:19:073355,858.99222277201,809
2020-02-18 15:41:19:374560,860.4970541264801,818
2020-02-18 15:41:19:675338,860.514343632157,819
2020-02-18 15:41:19:976280,861.2979435394012,816
2020-02-18 15:41:20:277226,861.8618728499214,817
2020-02-18 15:41:20:578342,862.351416459661,806
2020-02-18 15:41:20:879573,862.559016344574,801
2020-02-18 15:41:21:180392,862.1265393654508,813
2020-02-18 15:41:21:481445,862.2113029514046,814
2020-02-18 15:41:21:782619,862.5018996236721,807
2020-02-18 15:41:22:083847,862.9188263761439,798
2020-02-18 15:41:22:384985,863.0191257819496,819
2020-02-18 15:41:22:685999,863.3218673611657,824
2020-02-18 15:41:22:987025,863.6903528631113,824
2020-02-18 15:41:23:287939,864.2127923229682,824
2020-02-18 15:41:23:588842,864.4168805502396,830
2020-02-18 15:41:23:890041,864.1954508173418,824
2020-02-18 15:41:24:191074,864.16258244517,823
2020-02-18 15:41:24:491928,864.3978513847356,821
2020-02-18 15:41:24:792939,864.9254815791323,832
2020-02-18 15:41:25:093911,864.8528763992032,831
2020-02-18 15:41:25:395119,864.7058291569844,827
2020-02-18 15:41:25:696128,864.7785132536535,824
2020-02-18 15:41:25:997073,864.4463810286127,824
2020-02-18 15:41:26:297865,864.5069071155945,813
2020-02-18 15:41:26:598870,864.4722381737553,809
2020-02-18 15:41:26:899909,864.4705777710938,797
2020-02-18 15:41:27:201021,863.8581737549962,809
2020-02-18 15:41:27:502029,864.1366748936472,826
2020-02-18 15:41:27:803070,864.6729101970699,825
2020-02-18 15:41:28:104250,865.1036947385114,827
2020-02-18 15:41:28:405251,865.6624782072287,834
2020-02-18 15:41:28:706328,865.8493177534365,835
2020-02-18 15:41:29:007295,867.918501210887,842
2020-02-18 15:41:29:309645,960.0878749182207,925
2020-02-18 15:41:29:611804,976.0180615113482,937
2020-02-18 15:41:29:912631,990.6397596552754,947
2020-02-18 15:41:30:213725,990.9701249079794,948
2020-02-18 15:41:30:514844,990.9513533458512,948
2020-02-18 15:41:30:815607,990.9922246964209,947
2020-02-18 15:41:31:116442,990.9890710189071,948
2020-02-18 15:41:31:417360,990.9890815896235,948
2020-02-18 15:41:31:718730,990.9942884779881,947
2020-02-18 15:41:32:020058,991.005728580867,948
2020-02-18 15:41:32:321048,991.0313709342137,948
2020-02-18 15:41:32:622138,991.0289256823652,948
2020-02-18 15:41:32:922934,990.9966572251072,948
2020-02-18 15:41:33:223721,991.0202471840188,948
2020-02-18 15:41:33:524941,990.9879788024782,948
2020-02-18 15:41:33:825847,991.0327133839521,947
2020-02-18 15:41:34:127000,991.0302677688954,947
2020-02-18 15:41:34:427801,991.0337392514359,948
2020-02-18 15:41:34:728943,991.0250605456425,947
2020-02-18 15:41:35:030081,991.0024959192806,947
2020-02-18 15:41:35:331129,991.0062826581807,948
