timestamp,load,pressure
2020-02-07 19:41:11:810165,90.99610435,821
2020-02-07 19:41:12:068894,91.21304348,824
2020-02-07 19:41:12:328333,91.61733913,828
2020-02-07 19:41:12:587781,91.80962609,831
2020-02-07 19:41:12:847052,92.29773913,835
2020-02-07 19:41:13:106432,94.04311304,836
2020-02-07 19:41:13:364954,91.13908696,843
2020-02-07 19:41:13:880766,92.84008696,848
2020-02-07 19:41:14:139512,92.74147826,853
2020-02-07 19:41:14:398892,91.86386087,858
2020-02-07 19:41:14:658283,96.02021739,859
2020-02-07 19:41:14:916817,78.77355652,864
2020-02-07 19:41:15:176289,-520.5898174,862
2020-02-07 19:41:15:435007,-1459.91653,862
2020-02-07 19:41:15:952962,-1738.377626,871
2020-02-07 19:41:19:308765,-1956.2634,951
2020-02-07 19:41:19:568293,74.72566957,950
2020-02-07 19:41:19:827855,61.02892174,945
2020-02-07 19:41:20:087149,71.5554,951
2020-02-07 19:41:20:346641,100.0927565,951
2020-02-07 19:41:20:605233,93.86561739,950
2020-02-07 19:41:20:866063,93.12112174,950
2020-02-07 19:41:21:640791,93.92971304,951
2020-02-07 19:41:21:899545,94.37345217,951
2020-02-07 19:41:22:159088,94.83198261,950
2020-02-07 19:41:22:418581,96.08431304,950
2020-02-07 19:41:22:678252,93.28875652,950
2020-02-07 19:41:22:937772,95.47786957,950
2020-02-07 19:41:23:197140,95.48773043,950
2020-02-07 19:41:23:456569,94.7037913,937
2020-02-07 19:41:23:715243,94.27484348,893
2020-02-07 19:41:23:973951,92.73654783,843
2020-02-07 19:41:24:232823,93.3429913,752
2020-02-07 19:41:24:491655,93.31833913,622
2020-02-07 19:41:24:750407,91.25741739,547
2020-02-07 19:41:25:009089,89.46766957,476
2020-02-07 19:41:25:268610,90.59673913,436
2020-02-07 19:41:25:528114,92.70696522,417
2020-02-07 19:41:25:788140,91.66664348,407
2020-02-07 19:41:26:046781,91.34616522,398
2020-02-07 19:41:26:306823,93.7670087,396
2020-02-07 19:41:26:566339,89.74377391,393
2020-02-07 19:41:26:825064,90.11355652,390
2020-02-07 19:41:27:083818,90.93693913,385
2020-02-07 19:41:27:601034,92.00191304,387
2020-02-07 19:41:28:118554,92.07093913,389
2020-02-07 19:41:28:377968,92.13503478,387
2020-02-07 19:41:28:637325,90.82353913,389
2020-02-07 19:41:28:896721,91.35109565,386
2020-02-07 19:41:29:156194,91.52366087,388
2020-02-07 19:41:29:414883,90.6066,388
