timestamp,load,pressure
2020-02-14 14:23:24:543177,-236.0396347826087,944
2020-02-14 14:23:24:800598,-123.26086956521739,923
2020-02-14 14:23:25:059368,-160.49551304347827,962
2020-02-14 14:23:25:318062,-125.3710956521739,910
2020-02-14 14:23:25:577631,-149.10127826086958,963
2020-02-14 14:23:25:837103,-95.64550434782609,922
2020-02-14 14:23:26:096507,-87.91458260869565,980
2020-02-14 14:23:26:355047,-83.04824347826087,932
2020-02-14 14:23:26:613602,-80.98239130434783,921
2020-02-14 14:23:26:870735,-123.26086956521739,963
2020-02-14 14:23:27:129460,-90.04946086956522,928
2020-02-14 14:23:27:388147,-84.4287652173913,953
2020-02-14 14:23:27:647104,-91.98219130434782,949
2020-02-14 14:23:27:907123,-85.78463478260869,936
2020-02-14 14:23:28:165733,-90.11355652173913,956
2020-02-14 14:23:28:425037,-89.1915652173913,923
2020-02-14 14:23:28:687518,-87.70257391304348,957
2020-02-14 14:23:28:946356,-88.3928347826087,920
2020-02-14 14:23:29:205605,-88.50623478260869,957
2020-02-14 14:23:29:464972,-89.52190434782608,919
2020-02-14 14:23:29:724673,-88.44706956521739,966
2020-02-14 14:23:29:983316,-84.69007826086957,924
2020-02-14 14:23:30:241980,-93.93464347826087,960
2020-02-14 14:23:32:780661,-95.40391304347825,863
2020-02-14 14:23:33:039294,-90.25160869565218,805
2020-02-14 14:23:33:298013,-90.02973913043479,757
2020-02-14 14:23:33:557452,-90.91228695652174,732
2020-02-14 14:23:33:816946,-88.52595652173912,697
2020-02-14 14:23:34:076267,-88.74782608695652,681
2020-02-14 14:23:34:334916,-87.8258347826087,676
2020-02-14 14:23:34:593409,-89.95578260869564,656
2020-02-14 14:23:34:850771,-123.26086956521739,652
2020-02-14 14:23:35:365003,-90.36007826086956,635
2020-02-14 14:23:35:623537,-86.95807826086957,616
2020-02-14 14:23:35:880747,-123.26086956521739,644
2020-02-14 14:23:36:139646,-87.58917391304348,641
2020-02-14 14:23:36:399497,-88.75768695652174,632
2020-02-14 14:23:36:658139,-88.34353043478261,646
2020-02-14 14:23:36:916786,-87.08133913043478,638
2020-02-14 14:23:37:175266,-88.97955652173913,641
2020-02-14 14:23:37:435083,-89.79307826086956,637
2020-02-14 14:23:37:693572,-87.69764347826086,635
2020-02-14 14:23:37:950614,-123.26086956521739,628
2020-02-14 14:23:38:209475,-88.01319130434783,629
2020-02-14 14:23:38:468154,-88.09700869565216,615
2020-02-14 14:23:38:726785,-88.63442608695652,640
2020-02-14 14:23:38:985364,-90.14313913043478,639
2020-02-14 14:23:39:244747,-89.55641739130434,635
2020-02-14 14:23:39:503373,-87.01231304347826,627
2020-02-14 14:23:39:761989,-88.41255652173913,641
2020-02-14 14:23:40:020777,-88.49144347826086,639
2020-02-14 14:23:40:279486,-87.96881739130436,614
2020-02-14 14:23:40:538251,-87.75680869565218,635
2020-02-14 14:23:40:797591,-87.39195652173913,639
2020-02-14 14:23:41:056358,-87.48070434782608,638
2020-02-14 14:23:41:315627,-88.39776521739131,630
2020-02-14 14:23:41:575014,-87.15036521739131,638
2020-02-14 14:23:41:833363,-87.72722608695652,637
2020-02-14 14:23:42:092027,-88.6788,618
2020-02-14 14:23:42:350731,-88.74289565217391,634
2020-02-14 14:23:42:609431,-89.54162608695651,637
2020-02-14 14:23:42:868072,-87.12078260869565,638
2020-02-14 14:23:43:127503,-90.15299999999999,631
2020-02-14 14:23:43:386900,-87.28348695652173,632
2020-02-14 14:23:43:646373,-86.65239130434782,629
2020-02-14 14:23:43:905583,-90.07904347826087,637
2020-02-14 14:23:44:164899,-89.11267826086956,606
2020-02-14 14:23:44:423508,-87.34758260869566,637
2020-02-14 14:23:44:680738,-123.26086956521739,626
2020-02-14 14:23:44:939362,-87.92937391304348,621
2020-02-14 14:23:45:198070,-89.06337391304348,630
2020-02-14 14:23:45:456837,-99.57506086956522,627
2020-02-14 14:23:45:716243,-90.17765217391303,609
2020-02-14 14:23:45:974822,-116.69846086956522,634
2020-02-14 14:23:46:233378,-150.7233913043478,633
2020-02-14 14:23:46:492111,-408.66401739130436,625
2020-02-14 14:23:50:206200,-633.0481043478261,712
2020-02-14 14:23:50:464883,-14503.662782608697,712
2020-02-14 14:23:50:724750,-14553.770791304349,721
2020-02-14 14:23:50:983243,-14455.877008695654,726
2020-02-14 14:23:51:241600,-14402.145130434783,720
2020-02-14 14:23:51:500063,-14585.493208695652,727
2020-02-14 14:23:51:759055,-14505.546208695652,727
2020-02-14 14:23:52:018030,-14426.930426086958,719
2020-02-14 14:23:52:280746,-123.26086956521739,733
2020-02-14 14:23:52:795086,-13868.198765217392,731
2020-02-14 14:23:53:053821,-14287.709739130436,734
2020-02-14 14:23:53:310553,-123.26086956521739,723
2020-02-14 14:23:53:570613,-14384.661808695653,733
2020-02-14 14:23:53:829391,-14201.10172173913,731
2020-02-14 14:23:54:089585,-14831.541626086957,728
2020-02-14 14:23:54:348314,-14993.964939130436,726
2020-02-14 14:23:54:607161,-15683.249582608696,704
2020-02-14 14:23:54:865780,-16695.34951304348,730
2020-02-14 14:23:55:125228,-12194.897947826088,948
2020-02-14 14:23:55:384687,-65.80158260869565,958
2020-02-14 14:23:55:643542,-579.8881565217391,922
2020-02-14 14:23:55:901122,-123.26086956521739,981
2020-02-14 14:23:56:159954,-388.09424347826086,933
2020-02-14 14:23:56:418691,-458.0028782608696,925
2020-02-14 14:23:56:677525,-446.55440869565217,955
2020-02-14 14:23:56:935072,-123.26086956521739,926
2020-02-14 14:23:57:193710,-368.6436782608696,962
2020-02-14 14:23:57:454334,-123.26086956521739,933
2020-02-14 14:23:57:713189,-298.0349217391304,945
2020-02-14 14:23:57:970605,-123.26086956521739,959
2020-02-14 14:23:58:229341,-219.9910695652174,913
2020-02-14 14:23:58:488144,-223.43251304347825,974
2020-02-14 14:23:58:747633,-252.9411652173913,938
2020-02-14 14:23:59:007289,-307.1660869565217,921
2020-02-14 14:23:59:266726,-217.54064347826088,955
2020-02-14 14:23:59:526296,-100.15192173913043,910
2020-02-14 14:23:59:785545,-107.2813304347826,959
2020-02-14 14:24:00:044935,-96.9619304347826,928
2020-02-14 14:24:00:303401,-97.13942608695652,945
2020-02-14 14:24:00:560849,-123.26086956521739,956
2020-02-14 14:24:01:077572,-93.59937391304348,968
2020-02-14 14:24:01:337468,-123.26086956521739,930
2020-02-14 14:24:01:596900,-72.8077304347826,982
2020-02-14 14:24:01:855419,-81.31766086956522,934
2020-02-14 14:24:02:114885,-80.50413913043478,954
2020-02-14 14:24:02:373453,-83.19615652173913,942
