timestamp,load,pressure
2020-02-18 14:22:24:946337,-106.44773936296,947
2020-02-18 14:22:25:204272,-157.6182568754695,949
2020-02-18 14:22:25:461693,-155.8593161417253,948
2020-02-18 14:22:25:719054,-154.6036278956912,947
2020-02-18 14:22:25:976364,-106.44773936296,948
2020-02-18 14:22:26:233946,-156.56289243522298,947
2020-02-18 14:22:26:491512,-155.47332636959806,948
2020-02-18 14:22:26:748939,-157.1247762807246,948
2020-02-18 14:22:30:657587,-156.5873221676361,948
2020-02-18 14:22:30:915223,-156.50914702391412,947
2020-02-18 14:22:31:172792,-155.927719392482,948
2020-02-18 14:22:31:430318,-154.49125112659087,948
2020-02-18 14:22:31:687985,-157.7452914840177,948
2020-02-18 14:22:31:945609,-156.5873221676361,948
2020-02-18 14:22:32:203185,-155.6736501753856,948
2020-02-18 14:22:32:460695,-157.1882935849987,949
2020-02-18 14:22:32:716212,-106.44773936296,948
2020-02-18 14:22:32:973743,-155.31697608215416,948
2020-02-18 14:22:33:425544,-156.94888220735018,947
2020-02-18 14:22:33:683177,-154.9456441494748,948
2020-02-18 14:22:33:940594,-156.04986805454757,947
2020-02-18 14:22:34:196284,-106.44773936296,948
2020-02-18 14:22:34:709349,-154.6671451999653,947
2020-02-18 14:22:34:967148,-152.69322282098565,948
2020-02-18 14:22:35:224748,-156.8902508495587,948
2020-02-18 14:22:35:482243,-157.92607150387477,949
2020-02-18 14:22:35:739964,-154.4570495012125,947
2020-02-18 14:22:35:996205,-106.44773936296,949
2020-02-18 14:22:36:509152,-157.40816117671673,948
2020-02-18 14:22:36:766786,-156.32836700405707,948
2020-02-18 14:22:37:024323,-153.24533477352202,948
2020-02-18 14:22:37:281829,-156.8462773312151,948
2020-02-18 14:22:37:539509,-156.80230381287151,948
2020-02-18 14:22:37:796804,-106.44773936296,948
2020-02-18 14:22:38:054423,-154.84792521982234,948
2020-02-18 14:22:38:311849,-156.03032426861708,947
2020-02-18 14:22:38:569492,-154.4961370730735,947
2020-02-18 14:22:38:827456,-156.27950753923085,948
2020-02-18 14:22:39:085070,-157.55473957119543,947
2020-02-18 14:22:39:342593,-158.73713861999016,948
2020-02-18 14:22:39:600142,-156.30882321812658,947
2020-02-18 14:22:39:857836,-154.1345770333594,947
2020-02-18 14:22:40:115470,-153.50428993710105,948
2020-02-18 14:22:40:373099,-155.8593161417253,948
2020-02-18 14:22:40:630531,-153.52383372303154,949
2020-02-18 14:22:40:886307,-106.44773936296,948
2020-02-18 14:22:41:399279,-155.35117770753249,948
2020-02-18 14:22:41:656231,-106.44773936296,947
2020-02-18 14:22:41:913831,-154.91632847057906,948
2020-02-18 14:22:42:171332,-156.43097188019215,948
2020-02-18 14:22:42:428892,-156.0791837334433,948
2020-02-18 14:22:46:278897,-154.55476843086495,948
2020-02-18 14:22:46:536471,-155.42446690477183,948
2020-02-18 14:22:46:794191,-155.19482742008856,949
2020-02-18 14:22:47:051630,-156.6117519000492,947
2020-02-18 14:22:47:309071,-157.64268660788264,948
2020-02-18 14:22:47:566263,-106.44773936296,948
2020-02-18 14:22:48:079250,-155.53195772738954,948
2020-02-18 14:22:48:336776,-155.0482490256099,947
2020-02-18 14:22:48:594406,-154.72089061127414,947
2020-02-18 14:22:48:851854,-156.25019186033512,948
2020-02-18 14:22:49:109550,-154.6280576281043,948
2020-02-18 14:22:49:366283,-106.44773936296,947
2020-02-18 14:22:49:879458,-153.76813104716268,947
2020-02-18 14:22:50:136206,-106.44773936296,949
2020-02-18 14:22:50:393914,-157.30067035409903,948
2020-02-18 14:22:50:651417,-157.51565199933444,948
2020-02-18 14:22:50:908924,-155.84954424876003,948
2020-02-18 14:22:54:728410,-154.51079491252136,948
2020-02-18 14:22:55:241422,-157.5303098387823,947
2020-02-18 14:22:55:498998,-157.28112656816853,947
2020-02-18 14:22:55:756311,-106.44773936296,948
2020-02-18 14:22:56:013895,-152.56618821243745,947
2020-02-18 14:22:56:271396,-154.2029802841161,947
2020-02-18 14:22:56:528879,-155.9472631784125,948
