timestamp,load,pressure
2020-02-18 14:16:25:784433,-300.8839796389379,947
2020-02-18 14:16:26:042066,-301.08430344472544,947
2020-02-18 14:16:26:299804,-300.70808556556347,947
2020-02-18 14:16:26:557332,-300.66899799370253,948
2020-02-18 14:16:26:814943,-303.0631117701877,949
2020-02-18 14:16:27:072351,-299.93122007482646,948
2020-02-18 14:16:27:330043,-300.53219149218904,948
2020-02-18 14:16:27:587601,-302.1201240990415,948
2020-02-18 14:16:27:845296,-300.908409371351,948
2020-02-18 14:16:28:102989,-303.1070852885313,947
2020-02-18 14:16:28:360763,-302.1201240990415,947
2020-02-18 14:16:28:618542,-300.7911466557681,947
2020-02-18 14:16:28:876450,-302.58428901489066,948
2020-02-18 14:16:29:134073,-300.908409371351,948
2020-02-18 14:16:29:391454,-302.1250100455241,948
2020-02-18 14:16:29:649044,-300.9523828896946,948
2020-02-18 14:16:29:906188,-106.44773936296,949
2020-02-18 14:16:30:163732,-300.04359684392676,948
2020-02-18 14:16:30:421226,-300.3611833652973,947
2020-02-18 14:16:30:678797,-303.1901463787359,948
2020-02-18 14:16:33:278412,-302.100580313111,948
2020-02-18 14:16:33:535996,-301.24065373216933,947
2020-02-18 14:16:33:793615,-301.55335430705725,947
2020-02-18 14:16:34:051068,-301.1771364278953,947
2020-02-18 14:16:34:306173,-106.44773936296,948
2020-02-18 14:16:34:819361,-300.5419633851543,948
2020-02-18 14:16:35:077078,-300.7129715120461,948
2020-02-18 14:16:35:334660,-301.88559866787557,950
2020-02-18 14:16:35:592115,-302.14943977793723,948
2020-02-18 14:16:35:849632,-302.30090411889853,948
2020-02-18 14:16:36:107220,-301.10873317713856,948
2020-02-18 14:16:36:364820,-301.26019751809986,947
2020-02-18 14:16:36:622281,-302.13966788497197,948
2020-02-18 14:16:36:879843,-302.1836414033156,948
2020-02-18 14:16:37:137466,-303.1901463787359,948
2020-02-18 14:16:37:395183,-299.99473737910057,948
2020-02-18 14:16:37:652737,-301.8709408284277,948
2020-02-18 14:16:37:910192,-300.90352342486835,948
2020-02-18 14:16:38:166147,-106.44773936296,947
2020-02-18 14:16:38:423852,-300.908409371351,947
2020-02-18 14:16:38:681311,-300.17063145247494,948
2020-02-18 14:16:38:938794,-301.0549877658297,948
2020-02-18 14:16:39:746213,-302.2373868146244,948
2020-02-18 14:16:40:003725,-299.60874760697334,947
2020-02-18 14:16:40:261218,-302.1738695103503,948
2020-02-18 14:16:40:518824,-301.07941749824283,947
2020-02-18 14:16:43:334112,-301.64130134374443,947
2020-02-18 14:16:43:591526,-300.74717313742445,948
2020-02-18 14:16:43:849014,-303.0631117701877,948
2020-02-18 14:16:44:106495,-302.47191224579035,948
2020-02-18 14:16:44:364239,-300.986584515073,947
2020-02-18 14:16:44:621656,-301.2895131969956,947
2020-02-18 14:16:44:879508,-301.1380488560343,947
2020-02-18 14:16:45:136209,-106.44773936296,947
2020-02-18 14:16:45:393784,-300.1559736130271,948
2020-02-18 14:16:45:651273,-300.82046233466383,948
2020-02-18 14:16:45:908752,-301.37746023368277,948
2020-02-18 14:16:46:685864,-301.9246862397366,948
2020-02-18 14:16:46:943381,-301.4702932168526,947
2020-02-18 14:16:47:200898,-300.2585784891622,947
2020-02-18 14:16:47:456293,-106.44773936296,948
2020-02-18 14:16:47:713805,-302.5940609078559,948
2020-02-18 14:16:47:971288,-302.06637868773265,948
2020-02-18 14:16:48:228935,-300.6836558331504,948
2020-02-18 14:16:52:207402,-300.8839796389379,947
2020-02-18 14:16:52:465033,-302.2520446540723,948
2020-02-18 14:16:52:722687,-300.15108766654447,947
2020-02-18 14:16:52:980066,-299.9996233255831,947
2020-02-18 14:16:53:236675,-106.44773936296,948
2020-02-18 14:16:53:494260,-302.37419331613785,948
2020-02-18 14:16:53:946221,-302.4425965668946,948
2020-02-18 14:16:54:203771,-301.82208136360146,949
2020-02-18 14:16:54:461224,-300.9914704615556,948
2020-02-18 14:16:54:718793,-300.44913040198446,948
2020-02-18 14:16:54:976484,-301.66084512967495,949
2020-02-18 14:16:55:234051,-301.40188996609595,947
2020-02-18 14:16:55:491494,-301.9051424538061,947
2020-02-18 14:16:55:748930,-299.5208005702861,948
2020-02-18 14:16:56:006420,-302.4230527809641,948
2020-02-18 14:16:56:264181,-301.6022137718835,949
2020-02-18 14:16:56:521569,-301.76345000581,948
2020-02-18 14:16:56:779067,-302.281360332968,947
2020-02-18 14:16:57:036604,-301.33837266182184,947
2020-02-18 14:16:57:294298,-301.9686597580802,947
2020-02-18 14:16:57:551726,-302.0761505806979,948
2020-02-18 14:16:57:809063,-302.43771062041196,948
2020-02-18 14:16:58:066908,-302.87744580384805,948
2020-02-18 14:16:58:324445,-302.71132362343883,948
2020-02-18 14:16:58:581907,-292.6511598157183,947
2020-02-18 14:16:58:839574,-294.13648754643566,948
2020-02-18 14:16:59:096193,-106.44773936296,949
2020-02-18 14:16:59:353746,-303.46864532824543,948
2020-02-18 14:16:59:611212,-348.39003728948023,948
2020-02-18 14:16:59:868870,-453.740815347795,948
2020-02-18 14:17:01:918181,-464.4410381447392,949
2020-02-18 14:17:02:175985,-2079.6323404237314,947
2020-02-18 14:17:02:433607,-3104.650167066705,949
2020-02-18 14:17:02:691026,-4499.15792456507,947
2020-02-18 14:17:02:948611,-5454.868600352037,947
2020-02-18 14:17:03:206409,-5556.432769886319,947
2020-02-18 14:17:03:464071,-5574.989594627321,947
2020-02-18 14:17:03:721590,-5595.300474155584,947
2020-02-18 14:17:03:978988,-5576.186651515563,947
2020-02-18 14:17:04:236698,-5577.31530515305,948
2020-02-18 14:17:04:494335,-5573.94400208004,948
2020-02-18 14:17:04:751801,-5573.714362595357,948
2020-02-18 14:17:05:009355,-5574.940735162495,948
2020-02-18 14:17:05:267070,-5572.409814884496,948
2020-02-18 14:17:05:524735,-5571.251845568115,948
2020-02-18 14:17:05:782749,-5574.662236212986,948
2020-02-18 14:17:06:040256,-5574.2371588689975,947
2020-02-18 14:17:06:297775,-5574.437482674784,948
2020-02-18 14:17:06:555545,-5574.515657818507,948
2020-02-18 14:17:06:813115,-5572.712743566419,948
2020-02-18 14:17:07:071010,-5574.300676173271,947
2020-02-18 14:17:07:328570,-5574.667122159468,948
2020-02-18 14:17:07:586293,-5574.334877798649,948
2020-02-18 14:17:07:843892,-5575.277865469796,948
2020-02-18 14:17:08:101695,-5573.220882000612,947
2020-02-18 14:17:08:359213,-5573.416319859916,947
2020-02-18 14:17:08:616251,-106.44773936296,948
2020-02-18 14:17:09:129602,-5572.922839265172,947
2020-02-18 14:17:09:386195,-106.44773936296,947
2020-02-18 14:17:09:643914,-5573.2843993048855,948
2020-02-18 14:17:09:901323,-5574.163869671758,947
2020-02-18 14:17:10:158987,-5572.79091871014,947
2020-02-18 14:17:10:416610,-5573.680160969978,947
2020-02-18 14:17:10:674328,-5574.667122159468,947
2020-02-18 14:17:10:931863,-5573.655731237565,948
2020-02-18 14:17:11:189122,-5573.230653893577,948
2020-02-18 14:17:11:445817,-106.44773936296,948
2020-02-18 14:17:11:703010,-5575.04334003863,959
2020-02-18 14:17:11:960506,-5573.934230187075,948
2020-02-18 14:17:12:216231,-106.44773936296,948
2020-02-18 14:17:12:473813,-5573.724134488321,948
2020-02-18 14:17:12:731308,-5574.833244339878,948
2020-02-18 14:17:12:988801,-5575.165488700695,948
2020-02-18 14:17:15:968168,-5572.58570895787,947
2020-02-18 14:17:16:481205,-5574.569403229815,948
2020-02-18 14:17:16:738679,-5576.005871495707,947
2020-02-18 14:17:16:996375,-5574.44725456775,948
2020-02-18 14:17:17:254010,-5575.91792445902,948
2020-02-18 14:17:17:511408,-5576.084046639428,948
2020-02-18 14:17:17:769012,-5573.289285251369,948
2020-02-18 14:17:18:026570,-5574.843016232842,947
2020-02-18 14:17:18:284261,-5574.9309632695295,946
2020-02-18 14:17:18:541658,-5575.26809357683,948
2020-02-18 14:17:18:799126,-5572.859321960897,947
2020-02-18 14:17:19:056131,-106.44773936296,948
2020-02-18 14:17:19:569898,-5574.178527511206,949
2020-02-18 14:17:19:827515,-5571.471713159833,948
2020-02-18 14:17:20:085129,-5573.504266896603,948
2020-02-18 14:17:20:342616,-5575.619881723579,948
2020-02-18 14:17:20:600085,-5574.7452973031905,947
2020-02-18 14:17:20:856175,-106.44773936296,948
2020-02-18 14:17:21:369311,-5573.069417659651,947
2020-02-18 14:17:21:626514,-106.44773936296,947
2020-02-18 14:17:21:884086,-5573.079189552615,948
2020-02-18 14:17:22:141934,-5575.790889850471,948
2020-02-18 14:17:22:399639,-5575.414671971309,948
2020-02-18 14:17:22:657348,-5575.65896929544,948
2020-02-18 14:17:22:914939,-5574.85767407229,948
2020-02-18 14:17:23:172409,-5575.996099602741,948
2020-02-18 14:17:23:430052,-5573.983089651901,948
2020-02-18 14:17:23:687640,-5574.124782099897,949
2020-02-18 14:17:23:945204,-5575.409786024827,948
2020-02-18 14:17:24:202834,-5574.9993665202865,948
2020-02-18 14:17:24:460331,-5573.259969572473,947
2020-02-18 14:17:24:720172,-5575.126401128835,948
2020-02-18 14:17:24:976178,-106.44773936296,947
2020-02-18 14:17:25:489246,-5574.7110956778115,948
2020-02-18 14:17:25:746274,-106.44773936296,947
2020-02-18 14:17:26:003858,-5573.7583361137,947
2020-02-18 14:17:26:261332,-5574.681779998916,947
2020-02-18 14:17:26:518906,-5573.509152843087,948
2020-02-18 14:17:26:776546,-5574.7452973031905,948
2020-02-18 14:17:27:034055,-5572.561279225458,947
2020-02-18 14:17:27:291535,-5576.040073121085,949
2020-02-18 14:17:27:548941,-5575.776232011023,947
2020-02-18 14:17:27:806678,-5573.836511257422,947
2020-02-18 14:17:28:064233,-5575.092199503456,948
2020-02-18 14:17:28:321717,-5575.502619007996,947
2020-02-18 14:17:28:579212,-5573.592213933291,947
2020-02-18 14:17:28:836725,-5573.57267014736,948
2020-02-18 14:17:29:094452,-5573.6459593446,948
2020-02-18 14:17:29:351870,-5575.986327709777,948
2020-02-18 14:17:29:609499,-5574.35442158458,947
2020-02-18 14:17:29:866272,-106.44773936296,948
2020-02-18 14:17:30:123861,-5574.803928660982,947
2020-02-18 14:17:30:381362,-5575.483075222066,948
2020-02-18 14:17:30:638814,-5574.373965370511,948
2020-02-18 14:17:32:404763,-5574.461912407198,948
2020-02-18 14:17:32:897474,-11028.805207193056,948
2020-02-18 14:17:33:400374,-5574.618262694642,947
2020-02-18 14:17:33:656237,-106.44773936296,948
2020-02-18 14:17:33:913876,-5575.487961168548,948
2020-02-18 14:17:34:171311,-5575.419557917792,947
2020-02-18 14:17:34:428863,-5573.929344240592,948
2020-02-18 14:17:38:495440,-5576.108476371842,947
2020-02-18 14:17:38:753116,-5574.574289176298,948
2020-02-18 14:17:39:010494,-5575.048225985112,947
2020-02-18 14:17:39:268103,-5573.157364696338,947
2020-02-18 14:17:39:525928,-5576.313686124112,948
2020-02-18 14:17:39:783530,-5575.991213656259,947
2020-02-18 14:17:40:041065,-5574.979822734356,948
2020-02-18 14:17:40:298571,-5573.729020434805,947
2020-02-18 14:17:40:556271,-5575.751802278611,948
2020-02-18 14:17:40:813845,-5575.668741188406,948
2020-02-18 14:17:41:071309,-5574.667122159468,947
2020-02-18 14:17:41:328849,-5573.245311733025,947
2020-02-18 14:17:41:586435,-5573.939116133557,948
2020-02-18 14:17:41:844114,-5574.124782099897,946
2020-02-18 14:17:42:101569,-5574.984708680839,947
2020-02-18 14:17:42:359072,-5572.590594904354,948
2020-02-18 14:17:42:616133,-106.44773936296,947
2020-02-18 14:17:42:873802,-5574.515657818507,948
2020-02-18 14:17:43:131212,-5574.295790226789,948
2020-02-18 14:17:43:388771,-5575.776232011023,947
2020-02-18 14:17:43:646341,-5575.111743289387,947
2020-02-18 14:17:43:903940,-5573.885370722249,947
2020-02-18 14:17:44:161389,-5574.926077323047,949
2020-02-18 14:17:44:418928,-5576.215967194459,948
2020-02-18 14:17:44:676572,-5575.0237962527,949
2020-02-18 14:17:44:934086,-5575.053111931596,947
2020-02-18 14:17:45:191554,-5574.774612982086,947
2020-02-18 14:17:45:448991,-5574.584061069263,948
2020-02-18 14:17:45:706385,-106.44773936296,948
2020-02-18 14:17:45:963995,-5575.698056867302,949
